,person-specific median rho,person-specific median mae,person-specific min rho,person-specific min mae,person-specific max rho,person-specific max mae,fold-specific median rho,fold-specific median mae,fold-specific min rho,fold-specific min mae,fold-specific max rho,fold-specific max mae
lasso,0.42169619229065664,43.59749010211851,-0.1761144970443717,12.861591887146844,0.8134274719581058,114.4396289612689,0.5029692530946858,44.65911859491147,0.32795565488308465,41.352583260434116,0.5602047738751765,46.61566852303251
svr,0.4591216431897467,41.393907307150535,-0.14058659402387166,14.968654977197922,0.7650018255248565,131.96099764885506,0.5227887631736823,41.617545767323904,0.3871642073333291,39.248674223985596,0.5948268529252766,44.92063855819257
rf,0.5756852590598779,40.31775446292868,-0.26540547924994534,12.406942220142128,0.864547412512184,113.38720166975293,0.6331693014807762,40.03756235798801,0.4294950957985812,39.771710130744964,0.6680284807510443,42.8238506468513
gbr,0.4426230127097412,41.9005055576374,-0.1118947295695512,21.68039538493278,0.8049304443625246,153.77017218298008,0.5271902304335215,42.28039780811342,0.39184596605742167,40.7132383008652,0.5504686746534809,43.38268674589173
